Название;Ссылка;Авторы;Год/Журнал
ORM как антипаттерн;https://cyberleninka.ru/article/n/orm-kak-antipattern;Шитов Николай Андреевич, Галиаскаров Эдуард Геннадьевич;2011 / Объектные системы
Разработка и реализация библиотеки ORM на языке C++;https://cyberleninka.ru/article/n/razrabotka-i-realizatsiya-biblioteki-orm-na-yazyke-c;Стефанцов Дмитрий Александрович, Ткаченко Николай Олегович, Чернов Дмитрий Владимирович, Шмакова Раиса Владимировна;2011 / Прикладная дискретная математика. Приложение
Нестационарный режим работы программной системы при активном «Кэшировании» доступа к базе данных;https://cyberleninka.ru/article/n/nestatsionarnyy-rezhim-raboty-programmnoy-sistemy-pri-aktivnom-keshirovanii-dostupa-k-baze-dannyh;Кудж Станислав Алексеевич, Мельников Сергей Викторович;2014 / Перспективы науки и образования
Два современных подхода к семантическому моделированию ORM и ermm;https://cyberleninka.ru/article/n/dva-sovremennyh-podhoda-k-semanticheskomu-modelirovaniyu-orm-i-ermm;Бабанов Алексей Михайлович;2014 / Вестник Томского государственного университета. Управление, вычислительная техника и информатика
Достоинства, недостатки и альтернативы объектно-реляционного отображения (ORM);https://cyberleninka.ru/article/n/dostoinstva-nedostatki-i-alternativy-obektno-relyatsionnogo-otobrazheniya-orm;Романов С.С.;2016 / Таврический научный обозреватель
БЕЗОПАСНОЕ ПРОЕКТИРОВАНИЕ БАЗЫ ДАННЫХ ПРИ ИСПОЛЬЗОВАНИИ ORM;https://cyberleninka.ru/article/n/bezopasnoe-proektirovanie-bazy-dannyh-pri-ispolzovanii-orm;Наумова Александра Вячеславовна, Чукова Дарья Ильинична;2019 / Вопросы кибербезопасности
Использование технологии Autofetch для оптимизации ORM запросов к базе данных на примере университетской информационной системы (УИС);https://cyberleninka.ru/article/n/ispolzovanie-tehnologii-autofetch-dlya-optimizatsii-orm-zaprosov-k-baze-dannyh-na-primere-universitetskoy-informatsionnoy-sistemy-uis;Юданов Федор Николаевич;2009 / Вестник Новосибирского государственного университета. Серия: Информационные технологии
Организация репликации данных приложения с ORM-слоем на объектном уровне;https://cyberleninka.ru/article/n/organizatsiya-replikatsii-dannyh-prilozheniya-s-orm-sloem-na-obektnom-urovne;Ипполитов В.Д., Кременная О.А., Тищенко Н.А., Баженов Н.А., Вельдяксов В.Н.;2010 / Объектные системы
Правила порождения ограничений в семантических моделях данных ORM и ermm;https://cyberleninka.ru/article/n/pravila-porozhdeniya-ogranicheniy-v-semanticheskih-modelyah-dannyh-orm-i-ermm;Бабанов Алексей Михайлович;2014 / Вестник Томского государственного университета. Управление, вычислительная техника и информатика
НЕКОТОРЫЕ ВОПРОСЫ ПРИМЕНЕНИЯ ЦИФРОВЫХ ФОТОАППАРАТОВ ПРИ ПРОВЕДЕНИИ ОПЕРАТИВНО-РОЗЫСКНЫХ МЕРОПРИЯТИЙ В УЧРЕЖДЕНИЯХ УГОЛОВНО-ИСПОЛНИТЕЛЬНОЙ СИСТЕМЫ РОССИЙСКОЙ ФЕДЕРАЦИИ;https://cyberleninka.ru/article/n/nekotorye-voprosy-primeneniya-tsifrovyh-fotoapparatov-pri-provedenii-operativno-rozysknyh-meropriyatiy-v-uchrezhdeniyah-ugolovno;Житников Б.Ю., Блинов С.В.;2020 / Ведомости уголовно-исполнительной системы
"Облачные технологии ""умных городов""";https://cyberleninka.ru/article/n/oblachnye-tehnologii-umnyh-gorodov;Соловьев Владимир Николаевич, Прокофьев Андрей Викторович, Чёсов Роман Геннадьевич, Хламов Максим Анатольевич;2016 / Инновации и инвестиции
Разработка модели и архитектуры универсальной библиотеки для отображения Owl\POJO;https://cyberleninka.ru/article/n/razrabotka-modeli-i-arhitektury-universalnoy-biblioteki-dlya-otobrazheniya-owl-pojo;Богдан А. Н.;2012 / Восточно-Европейский журнал передовых технологий
Системи об’єктно-реляційної проекції для с++;https://cyberleninka.ru/article/n/sistemi-ob-ektno-relyatsiynoyi-proektsiyi-dlya-s;Бондаренко Микола Андрійович, Макаренко Антон Юрійович;2013 / Радиоэлектроника и информатика
Использование технологии объектно-реляционного отображения при разработке конвертера учебных курсов;https://cyberleninka.ru/article/n/ispolzovanie-tehnologii-obektno-relyatsionnogo-otobrazheniya-pri-razrabotke-konvertera-uchebnyh-kursov;Шумская Екатерина Андреевна;2014 / Современные информационные технологии и ИТ-образование
Управление репутацией в интернете;https://cyberleninka.ru/article/n/upravlenie-reputatsiey-v-internete;Кравцова Екатерина Дмитриевна;2019 / Вестник науки и образования
